record_id,supplier_id,supplier_tier,parent_supplier,parent_part,sub_part,sub_supplier,qty_supplied,qty_accepted,qty_rejected,ppm,audit_score,cpk,supplier_score,risk,claim_count,repeat_failure_rate,corrective_actions,supplier_response_days,recall_flag,replacement_cost,predicted_supplier_score,risk_rank
40446,SUP-104,Tier1,PARENT-11,Electrical,Rotor,SUBSUP-849,535,458,77,143925.2336448598,98.72895735156064,1.0151552883456625,0.104372708900109,High,38,0.2994002137939604,6,26,0,30767.160613589407,0.31411698,1.0
49953,SUP-094,Tier1,PARENT-15,Engine,Rotor,SUBSUP-608,218,216,2,9174.311926605506,98.48323214971032,1.7956881859071545,0.1083228455882242,High,22,0.2998433681883692,1,27,0,42591.74403040971,0.32196668,2.0
11147,SUP-001,Tier1,PARENT-10,Engine,Bearing,SUBSUP-918,825,823,2,2424.242424242424,90.70960640772584,1.7882169338109462,0.147875912962677,High,35,0.2972045268558844,9,9,0,39148.09065637741,0.33803657,3.0
35547,SUP-062,Tier2,PARENT-04,BrakeSystem,Pump,SUBSUP-617,911,827,84,92206.36663007684,87.41415368515844,0.8211747977295301,0.1044141011777922,High,0,0.0022402758073873,5,10,0,49569.35369429144,0.3457416,4.0
425,SUP-088,Tier3,PARENT-18,BrakeSystem,Pump,SUBSUP-290,809,808,1,1236.0939431396785,90.517576991005,1.7715394024248727,0.1561143763722578,High,45,0.2975063245785346,2,13,0,42091.252681914535,0.34605402,5.0
34614,SUP-081,Tier2,PARENT-03,Transmission,Pump,SUBSUP-495,575,567,8,13913.04347826087,99.10029648711831,1.7388842817346353,0.105145397303262,High,42,0.0006584080467078,7,23,0,24845.12313326695,0.35511744,6.0
16702,SUP-070,Tier3,PARENT-20,Engine,Rotor,SUBSUP-272,688,688,0,0.0,91.96339765125764,1.7432229829832773,0.166177331953817,High,30,0.0011716907016548,1,19,0,33472.227709746105,0.3562256,7.0
20019,SUP-131,Tier2,PARENT-20,Transmission,Valve,SUBSUP-765,455,392,63,138461.53846153847,60.86319313203432,1.3367388349907694,0.1273795028718503,High,49,0.0497614616379674,4,1,0,47346.9098180664,0.3608454,8.0
33474,SUP-099,Tier3,PARENT-12,Electrical,Seal,SUBSUP-108,361,313,48,132963.9889196676,90.21026738402092,1.7074661747882027,0.1538622238523846,High,41,0.0049890892407621,9,1,0,30416.944326515302,0.36251333,9.0
12816,SUP-015,Tier2,PARENT-04,Electrical,Bearing,SUBSUP-323,544,468,76,139705.88235294115,86.62604660560682,0.8203017917033857,0.1182147554483149,High,32,0.0005794247047203,4,1,0,10874.240774351343,0.36577857,10.0
3291,SUP-001,Tier3,PARENT-18,Engine,Pump,SUBSUP-458,710,605,105,147887.32394366196,60.29933130561668,1.0756120332180434,0.2120488518124472,High,11,0.0378770109069434,6,1,0,20926.715396824413,0.3687201,11.0
44442,SUP-002,Tier1,PARENT-18,Engine,Seal,SUBSUP-786,352,351,1,2840.909090909091,90.08828509530876,1.72092438371677,0.1117374291508761,High,47,0.0164743089628086,2,5,0,14967.988173588052,0.3707503,12.0
1327,SUP-042,Tier2,PARENT-19,BrakeSystem,Seal,SUBSUP-337,298,292,6,20134.228187919463,63.16260910433428,1.4582805898289846,0.2409402288450512,High,23,0.0024661809894601,7,1,0,39466.28292129178,0.37229618,13.0
12495,SUP-129,Tier3,PARENT-04,Engine,Seal,SUBSUP-264,179,167,12,67039.1061452514,99.53926874828794,1.7941886630157136,0.1652249282641066,High,12,0.1702623910888334,6,28,0,1589.3703496427802,0.37462047,14.0
5026,SUP-075,Tier3,PARENT-15,Cooling,Bearing,SUBSUP-462,574,573,1,1742.1602787456443,83.30072746162791,0.802132966391565,0.1297399887326603,High,10,0.2756677432929941,5,27,0,46508.55506864577,0.3779063,15.0
30454,SUP-092,Tier3,PARENT-12,BrakeSystem,Seal,SUBSUP-439,479,462,17,35490.60542797495,93.47978026017569,0.8027576366602888,0.2210760672651763,High,20,0.2968724533237044,9,28,0,5496.058718630605,0.3821984,16.0
29531,SUP-123,Tier2,PARENT-12,BrakeSystem,Pump,SUBSUP-676,518,457,61,117760.61776061777,92.42972339344132,0.9114335392197116,0.1808723714804498,High,7,0.0008824776864201,9,1,0,41857.44914562888,0.38459542,17.0
21517,SUP-138,Tier3,PARENT-01,Engine,Bearing,SUBSUP-119,328,284,44,134146.34146341463,60.22931987858384,1.011786587900218,0.2383694941131555,High,44,0.2992213584865742,8,17,0,12328.558558827472,0.3882404,18.0
16631,SUP-046,Tier1,PARENT-07,BrakeSystem,Valve,SUBSUP-962,124,107,17,137096.77419354836,65.97941401031245,1.4104178064208437,0.1512793905261779,High,0,0.2916399803060638,5,20,0,38547.65300433672,0.38982242,19.0
36859,SUP-134,Tier2,PARENT-17,Transmission,Valve,SUBSUP-388,888,885,3,3378.378378378379,95.92561838734647,1.7806191658466886,0.20356259166977,High,44,0.2555698612105937,1,3,0,15192.41477921776,0.3908407,20.0
