record_id,test_date,plant_name,vehicle_model,supplier_id,supplier_name,supplier_batch_id,part_name,part_category,market_price_inr,open_market_price_range_inr,qty_inspected,qty_defective,ppm,otd_pct,audit_score_pct,cpk,belt_tension_dev_ratio,slip_ratio,crack_density_per_100mm,pressure_retention_ratio,hose_leak_rate_ml_min,engine_temp_dev_ratio,filter_pressure_drop_pa_ratio,filtration_efficiency,fuel_penalty_ratio,brake_leak_rate_cc_min,pushrod_stroke_excess_ratio,brake_response_lag_s_ratio,relay_brake_lag_s_ratio,relay_pressure_delivery_ratio,relay_leak_rate_cc_min,pulse_integrity_ratio,speed_deviation_ratio,dropout_count_ratio,bearing_temp_rise_c_ratio,bearing_vibration_rms_ratio,bearing_play_mm_ratio,ujoint_vibration_rms_ratio,ujoint_backlash_mm_ratio,ujoint_temp_rise_c_ratio,downstream_water_ppm_ratio,separator_dp_kpa_ratio,service_compliance_ratio,data_source_type,impact_raw,criticality_weight_0_1,min_required_sqm_0_1,importance_band,part_quality_score_recomputed_0_1,supplier_quality_score_recomputed_0_1,sqm_gap_to_target_0_1,part_gap_to_target_0_1,weighted_loss_priority_0_1,sqm_status,action_priority,risk_label_current_scenario,dataset_note_current_scenario
1,17-04-2025,Chennai Plant,Tipper 3523,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-V-B-2685,V-Belt / Alternator Belt,Mechanical,347.83,100-450,111,0,1758,90.43,95.5,1.505,0.0172,0.0129,2.41,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.86,0.9,0,-0.04,0.04,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
2,21-01-2026,Pune Plant,Rigid Truck 2818,SUP-BETA,Beta Truck Systems,SUP-BETA-V-B-1189,V-Belt / Alternator Belt,Mechanical,440.81,100-450,231,0,1094,95.64,93.25,1.515,0.0099,0.0066,0.86,,,,,,,,,,,,,,,,,,,,,,,,,Bench Test,8.5,0.9,0.9,High,0.93,0.94,0.04,0.03,0.05,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
3,30-04-2026,Jamshedpur Plant,Rigid Truck 2818,SUP-ZETA,Zeta Brake and Flow,SUP-ZETA-V-B-1775,V-Belt / Alternator Belt,Mechanical,254.05,100-450,174,1,2976,91.69,97.19,1.465,0.0222,0.0193,1.8,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.83,0.88,-0.02,-0.07,0.04,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
4,26-12-2025,Pune Plant,Bus Chassis 1624,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-V-B-6675,V-Belt / Alternator Belt,Mechanical,394.8,100-450,41,0,549,93.65,89.89,1.461,0.0408,0.0165,2.15,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.8,0.91,0.01,-0.1,0.04,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
5,04-12-2025,Pune Plant,School Bus 1017,SUP-EPS,Epsilon Drives & Seals,SUP-EPS-V-B-1064,V-Belt / Alternator Belt,Mechanical,203.7,100-450,92,0,2670,92.78,85.28,1.114,0.0389,0.0243,3.73,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.74,0.82,-0.08,-0.16,0.07,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
6,16-05-2025,Jamshedpur Plant,School Bus 1017,SUP-DELTA,Delta Fleet Components,SUP-DELTA-V-B-7184,V-Belt / Alternator Belt,Mechanical,125.92,100-450,102,0,1752,100,100,1.62,0.0192,0.0077,0.91,,,,,,,,,,,,,,,,,,,,,,,,,Bench Test,8.5,0.9,0.9,High,0.91,0.94,0.04,0.01,0,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
7,03-03-2025,Pune Plant,Cargo 1916,SUP-GAMMA,Gamma Motion Parts,SUP-GAMMA-V-B-9110,V-Belt / Alternator Belt,Mechanical,234.02,100-450,255,1,2251,98.14,99.78,1.443,0.051,0.0219,3.01,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.74,0.88,-0.02,-0.16,0.03,Near Target,Monitor,Watchlist,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
8,12-09-2025,Pune Plant,Bus Chassis 1624,SUP-GAMMA,Gamma Motion Parts,SUP-GAMMA-V-B-2757,V-Belt / Alternator Belt,Mechanical,278,100-450,246,1,4422,89.48,75.15,1.398,0.0482,0.0302,4.57,,,,,,,,,,,,,,,,,,,,,,,,,Dealer Service,8.5,0.9,0.9,High,0.68,0.77,-0.13,-0.22,0.11,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
9,11-10-2025,Chennai Plant,Cargo 1916,SUP-GAMMA,Gamma Motion Parts,SUP-GAMMA-V-B-6450,V-Belt / Alternator Belt,Mechanical,176.45,100-450,105,0,1920,90.72,100,1.525,0.011,0.0036,0.73,,,,,,,,,,,,,,,,,,,,,,,,,Incoming QC,8.5,0.9,0.9,High,0.95,0.93,0.03,0.05,0.01,Target Met,Monitor,Low Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
10,09-07-2025,Bangalore Plant,School Bus 1017,SUP-ALPHA,Alpha Mobility Components,SUP-ALPHA-V-B-5413,V-Belt / Alternator Belt,Mechanical,286.93,100-450,264,1,3606,88.06,86.16,1.367,0.0278,0.0101,1.99,,,,,,,,,,,,,,,,,,,,,,,,,Dealer Service,8.5,0.9,0.9,High,0.86,0.84,-0.06,-0.04,0.07,Below Target,Monitor,High Risk,"Synthetic project dataset: decimal SQM scores rounded to 2 decimals, importance-based targets by part, and weighted loss-priority optimization."
